fid,Schad_X207,Schad_X208,Schad_X265,Schad_X209,C29_1394_2,Schad_2469,Typ_X210,X_210,X_207,X_208,X_209,VII_2469,X_265,C29_1394,str_inter,Ottawa
1,Totalschaden alt,Totalschaden neu,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden neu},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
3,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
5,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
6,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
7,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
8,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
9,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
10,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
11,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
12,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
13,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,
14,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
15,Totalschaden alt,Totalschaden alt,Provisorium,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{Provisorium},,,
16,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
17,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
